created,custom,delete,external,id,modified,module,name,package,parent_urn,pending,project,protected,provider_urn,stack,type,urn,teams,properties,category,account,managed
,true,false,true,mutual-poc-truststore,,s3,mutual-poc-truststore,aws,,,sentify_demo,false,,ap-southeast-2,aws:s3/bucketPublicAccessBlock:BucketPublicAccessBlock,urn:insights:sentify_demo/ap-southeast-2::aws::aws:s3/bucketPublicAccessBlock:BucketPublicAccessBlock::mutual-poc-truststore,,,storage,sentify_demo/ap-southeast-2,Other
,true,false,true,dopt-8193a5e6,,ec2,dopt-8193a5e6,aws,,,sentify_demo,false,,ap-southeast-2,aws:ec2/vpcDhcpOptions:VpcDhcpOptions,urn:insights:sentify_demo/ap-southeast-2::aws::aws:ec2/vpcDhcpOptions:VpcDhcpOptions::dopt-8193a5e6,,,compute,sentify_demo/ap-southeast-2,Other
,true,false,true,mutual-poc-truststore,,s3,mutual-poc-truststore,aws,,,sentify_demo,false,,ap-southeast-2,aws:s3/bucket:Bucket,urn:insights:sentify_demo/ap-southeast-2::aws::aws:s3/bucket:Bucket::mutual-poc-truststore,,,storage,sentify_demo/ap-southeast-2,Other
,true,false,true,default.aurora-postgresql13,,rds,default.aurora-postgresql13,aws,,,sentify_demo,false,,ap-southeast-2,aws:rds/clusterParameterGroup:ClusterParameterGroup,urn:insights:sentify_demo/ap-southeast-2::aws::aws:rds/clusterParameterGroup:ClusterParameterGroup::default.aurora-postgresql13,,,data,sentify_demo/ap-southeast-2,Other
,true,false,true,igw-ed1bfe8a,,ec2,igw-ed1bfe8a,aws,,,sentify_demo,false,,ap-southeast-2,aws:ec2/internetGateway:InternetGateway,urn:insights:sentify_demo/ap-southeast-2::aws::aws:ec2/internetGateway:InternetGateway::igw-ed1bfe8a,,,compute,sentify_demo/ap-southeast-2,Other
,true,false,true,arn:aws:cloudformation:ap-southeast-2:155742740775:stack/eksctl-tabnine-eks-cluster-addon-iamserviceaccount-kube-system-aws-load-balancer-controller/a8326390-bb26-11ee-aeea-0218f80e4b61,,cloudformation,eksctl-tabnine-eks-cluster-addon-iamserviceaccount-kube-system-aws-load-balancer-controller,aws,,,sentify_demo,false,,ap-southeast-2,aws:cloudformation/stack:Stack,urn:insights:sentify_demo/ap-southeast-2::aws::aws:cloudformation/stack:Stack::arn:aws:cloudformation:ap-southeast-2:155742740775:stack/eksctl-tabnine-eks-cluster-addon-iamserviceaccount-kube-system-aws-load-balancer-controller/a8326390-bb26-11ee-aeea-0218f80e4b61,,,management,sentify_demo/ap-southeast-2,Other
,true,false,true,subnet-0832e0303d75acb7b,,ec2,subnet-0832e0303d75acb7b,aws,,,sentify_demo,false,,ap-southeast-2,aws:ec2/subnet:Subnet,urn:insights:sentify_demo/ap-southeast-2::aws::aws:ec2/subnet:Subnet::subnet-0832e0303d75acb7b,,,compute,sentify_demo/ap-southeast-2,Other
,true,false,true,rtb-0f1513e167c8d0a9d_0.0.0.0/0,,ec2,r-rtb-0f1513e167c8d0a9d1080289494,aws,,,sentify_demo,false,,ap-southeast-2,aws:ec2/route:Route,urn:insights:sentify_demo/ap-southeast-2::aws::aws:ec2/route:Route::rtb-0f1513e167c8d0a9d_0.0.0.0/0,,,compute,sentify_demo/ap-southeast-2,Other
,true,false,true,default,,cloudwatch,default,aws,,,sentify_demo,false,,ap-southeast-2,aws:cloudwatch/eventBus:EventBus,urn:insights:sentify_demo/ap-southeast-2::aws::aws:cloudwatch/eventBus:EventBus::default,,,observability,sentify_demo/ap-southeast-2,Other
,true,false,true,sg-0943734712db19752,,ec2,default,aws,,,sentify_demo,false,,ap-southeast-2,aws:ec2/securityGroup:SecurityGroup,urn:insights:sentify_demo/ap-southeast-2::aws::aws:ec2/securityGroup:SecurityGroup::sg-0943734712db19752,,,compute,sentify_demo/ap-southeast-2,Other
